track_id	s_acousticness	s_danceability	s_energy	s_instrumentalness	s_liveness	s_loudness	s_speechiness	s_valence	s_tempo	genre
TRABDYJ12903CBD417	0.146	0.557	0.543	3.14e-05	0.111	-16.697	0.0458	0.901	188.64	International
TRABEPN128E078CF55	0.221	0.577	0.365	0.2	0.197	-13.425	0.0561	0.612	115.823	Jazz
TRABFQC128F4265349	0.277	0.604	0.692	0.0	0.0713	-9.039	0.0489	0.626	92.653	RnB
TRABGGZ12903CB5335	0.0217	0.686	0.899	9.4e-06	0.167	-6.935	0.0594	0.706	93.04	Pop_Rock
TRABGIH128F9306842	0.561	0.657	0.515	0.0	0.16	-11.652	0.075	0.652	79.744	Reggae
TRABGXV12903CC09F9	0.00124	0.425	0.96	0.572	0.0944	-3.833	0.0473	0.525	91.54	Pop_Rock
TRABHCK128F423E15A	0.262	0.68	0.578	2.29e-05	0.107	-10.787	0.0272	0.705	107.761	International
TRABHXO128F145CEF3	0.535	0.388	0.231	0.000121	0.261	-14.709	0.073	0.438	65.261	Vocal
TRABJLG128F930A7E1	0.637	0.463	0.486	3.75e-06	0.92	-11.033	0.0433	0.861	81.774	International
TRABKBQ128F4281631	0.35	0.722	0.724	0.000355	0.112	-6.429	0.113	0.566	117.012	Electronic
TRABLIM12903CCED5D	0.843	0.584	0.398	0.0294	0.367	-12.047	0.0642	0.85	63.796	Blues
TRABMDW128F14682DD	0.00997	0.785	0.461	0.818	0.228	-15.795	0.111	0.65	120.893	Electronic
TRABMHF128F9326673	0.0842	0.583	0.733	0.000564	0.0984	-6.383	0.0391	0.447	115.023	Blues
TRABMLB128F4271109	0.037	0.745	0.793	0.0	0.668	-4.868	0.301	0.927	157.679	Rap
TRABMLM128F429BFA2	0.992	0.341	0.065	0.000107	0.0842	-17.067	0.0566	0.395	75.208	Vocal
TRABNDX128F423F61F	0.974	0.427	0.193	0.00152	0.68	-16.072	0.0421	0.249	128.573	Vocal
TRABNEV128F92F9F62	0.71	0.701	0.762	1.66e-05	0.225	-8.994	0.0605	0.712	91.417	Blues
TRABNIQ128F4261298	0.0162	0.913	0.591	0.000781	0.0943	-6.805	0.0659	0.647	112.018	RnB
TRABNQN128F4271546	0.202	0.484	0.627	0.0	0.292	-7.049	0.144	0.868	177.422	Latin
TRABOFJ128F146A81F	0.753	0.332	0.16	0.55	0.0599	-24.553	0.0498	0.136	200.617	International
TRABONQ12903CABFA8	0.964	0.282	0.0349	0.00313	0.207	-24.268	0.0381	0.0598	115.286	Vocal
TRABPCJ128F930903D	0.95	0.328	0.0121	1.19e-06	0.0975	-16.241	0.0428	0.0596	78.933	New Age
TRABPMM128F425BEBA	0.194	0.665	0.679	0.0	0.191	-3.682	0.0342	0.548	95.74	Latin
TRABQBB128F14610F1	0.985	0.302	0.2	5.16e-06	0.141	-11.777	0.0321	0.329	76.976	Vocal
TRABTDB128F9305BCB	0.955	0.368	0.0831	0.0	0.135	-16.91	0.0475	0.106	83.213	Vocal
TRABTNW128F93224D3	0.222	0.651	0.62	0.0	0.287	-6.528	0.349	0.415	86.687	Rap
TRABTSM128F426AF07	0.069	0.718	0.78	0.0	0.679	-3.814	0.0295	0.932	98.014	Latin
TRABXMM128F4231D7E	0.00568	0.677	0.704	0.0708	0.0605	-6.993	0.0451	0.588	127.98	Rap
TRABZSO128F9325A05	0.000772	0.519	0.67	0.0324	0.134	-9.314	0.0295	0.596	104.294	Folk
TRACABK128F93167F7	0.929	0.448	0.0584	2.42e-05	0.144	-17.78	0.0335	0.172	77.037	Vocal
TRACADL128F932F7A2	0.00649	0.622	0.713	0.0318	0.374	-7.085	0.028	0.642	96.257	International
TRACBIP12903CFD91C	0.992	0.816	0.316	0.495	0.116	-8.422	0.0613	0.789	80.62	Blues
TRACBNE128F93302DE	0.000247	0.776	0.598	0.00233	0.323	-8.427	0.0328	0.817	130.016	Reggae
TRACCDH128F42682B5	0.531	0.479	0.468	0.0	0.35	-9.57	0.0398	0.519	135.64	Latin
TRACCDT128F14970CD	0.858	0.563	0.565	0.0	0.976	-7.939	0.338	0.806	131.658	Folk
TRACCIG128F931CF87	0.0231	0.744	0.789	0.273	0.0874	-8.743	0.16	0.534	134.038	Electronic
TRACCOK128F932AF52	0.843	0.731	0.198	1.12e-06	0.641	-14.193	0.0466	0.562	79.982	Folk
TRACCYB128F930BA98	0.976	0.181	0.021	0.863	0.0807	-25.541	0.0475	0.0383	77.93	New Age
TRACDHB12903CDF8F6	0.00506	0.594	0.778	0.00218	0.0617	-6.495	0.0288	0.794	140.992	Electronic
TRACEFI128F9343AC1	0.267	0.581	0.704	0.0	0.379	-4.577	0.0338	0.776	112.35	Country
TRACFJC128F1456709	0.578	0.611	0.536	4.29e-06	0.114	-12.725	0.0277	0.481	131.998	RnB
TRACFQQ128F425AFDC	0.157	0.697	0.823	0.878	0.127	-11.053	0.041	0.657	113.066	New Age
TRACHIN128F92EBACE	0.293	0.275	0.305	0.0205	0.321	-13.921	0.0385	0.0487	89.925	New Age
TRACHNJ128F9339B5D	0.7	0.685	0.508	0.0	0.65	-8.891	0.921	0.544	96.445	Rap
TRACKDP128F9307E8E	0.483	0.369	0.484	0.00585	0.114	-14.454	0.0502	0.534	174.839	Latin
TRACKOS128F92E5FB4	0.05	0.618	0.842	0.262	0.123	-7.974	0.0299	0.782	113.035	Blues
TRACKYB128F42AFEF4	0.0513	0.499	0.522	0.541	0.199	-17.16	0.0313	0.459	89.963	Jazz
TRACMGB128F4295FA2	0.0588	0.847	0.448	0.0	0.371	-16.048	0.308	0.745	89.982	Reggae
TRACMMS128F930696B	0.24	0.814	0.632	0.00357	0.116	-4.985	0.0799	0.848	88.351	Reggae
TRACOWU128F423626E	0.635	0.585	0.617	0.835	0.114	-12.794	0.0554	0.483	168.084	Latin
TRACRQC12903CC8884	0.167	0.795	0.864	0.578	0.0866	-6.825	0.0447	0.435	126.995	International
TRACSEJ128F4213D97	0.166	0.427	0.672	0.178	0.216	-6.801	0.0436	0.77	180.924	Blues
TRACTQD128F14B0F9D	0.755	0.308	0.243	0.000157	0.113	-14.29	0.035	0.226	88.271	RnB
TRACUJU12903CF8122	0.006	0.442	0.801	0.0	0.107	-5.871	0.0344	0.458	156.049	Pop_Rock
TRACUQZ12903CF0030	0.0687	0.473	0.534	0.0	0.118	-8.722	0.331	0.639	165.546	Rap
TRACVGJ128F931E97D	0.771	0.614	0.589	0.0	0.443	-5.009	0.231	0.84	93.802	Rap
TRACXHD128F92E919B	0.407	0.668	0.944	0.0	0.132	-5.777	0.26	0.505	108.063	Rap
TRACXRX12903CE5B8D	0.519	0.821	0.63	0.000175	0.113	-5.562	0.486	0.661	88.607	Rap
TRACXSY128F935F0FC	0.773	0.54	0.225	3.85e-06	0.105	-16.914	0.0642	0.567	135.135	Vocal
TRACYHQ12903CCE804	0.448	0.74	0.954	0.000915	0.0368	-2.161	0.047	0.83	100.326	Latin
TRACZPB128F92FBE3F	0.743	0.569	0.325	0.966	0.124	-13.125	0.0305	0.157	121.006	New Age
TRADABC128F4274FCC	0.123	0.707	0.886	0.0	0.235	-6.693	0.0821	0.68	98.065	Latin
TRADBIU128F92EE4BC	0.346	0.844	0.618	0.000547	0.269	-8.458	0.186	0.657	170.342	Reggae
TRADBLW128F4255626	0.684	0.342	0.204	0.0	0.268	-11.411	0.0287	0.349	100.406	RnB
TRADCYR128F42373C5	0.0593	0.777	0.685	1.99e-05	0.0611	-6.871	0.0511	0.7	124.92	RnB
TRADDAM128F4295406	0.146	0.743	0.763	2.8e-06	0.112	-6.24	0.292	0.807	93.154	Rap
TRADDLX128F1469BD9	0.0766	0.738	0.688	2.39e-05	0.136	-6.338	0.0404	0.74	142.189	RnB
TRADDQD128F931CE40	0.946	0.574	0.211	0.0463	0.116	-16.578	0.0373	0.385	76.993	Folk
TRADETN128F148CF19	0.0277	0.72	0.641	0.00125	0.102	-7.992	0.0287	0.544	120.575	Country
TRADFLE128F425C6B9	0.531	0.687	0.522	0.89	0.348	-13.408	0.0362	0.451	144.026	New Age
TRADFSH128F145B32F	0.98	0.567	0.0379	0.639	0.124	-22.862	0.0464	0.344	73.954	Jazz
TRADFSY128F9309CB6	0.926	0.424	0.0995	0.0105	0.0727	-20.03	0.0408	0.239	104.432	Jazz
TRADGJI128F425A744	0.908	0.526	0.391	0.00555	0.0748	-13.811	0.0374	0.543	95.628	Folk
TRADGPK128F427388A	0.455	0.68	0.546	1.01e-05	0.266	-12.738	0.0447	0.785	110.059	International
TRADHOO128EF3641A1	0.000216	0.451	0.731	0.906	0.112	-12.074	0.0393	0.131	176.71	New Age
TRADHQA128F42441B7	0.538	0.435	0.991	0.000643	0.46	-8.54	0.0797	0.129	122.845	Pop_Rock
TRADIMW128F424CD4B	0.102	0.849	0.768	4.03e-05	0.307	-6.747	0.0973	0.848	100.001	International
TRADKLT128F9304E1D	0.391	0.55	0.573	0.00399	0.0891	-9.994	0.0432	0.126	79.985	Folk
TRADKVP12903CA06E6	0.51	0.372	0.303	0.00157	0.105	-12.572	0.0539	0.252	182.321	Blues
TRADLOQ128F9314339	0.442	0.532	0.59	4.91e-05	0.149	-6.485	0.0299	0.713	87.278	Country
TRADLVN12903CC6EE7	0.256	0.521	0.574	0.879	0.0777	-9.323	0.0461	0.404	120.019	Jazz
TRADLWU128F42864E3	0.0762	0.919	0.507	0.02	0.145	-12.952	0.113	0.843	95.065	Reggae
TRADNRG128F4295A0E	0.836	0.443	0.156	7.25e-06	0.607	-18.866	0.0818	0.272	149.604	Country
TRADOBU128F421E70E	0.254	0.756	0.954	0.674	0.144	-3.421	0.247	0.0775	140.085	Electronic
TRADOVU128F9340CEE	0.976	0.293	0.064	0.848	0.0942	-20.539	0.0354	0.133	67.547	New Age
TRADPPX128E078B0BC	0.255	0.667	0.372	6.89e-05	0.109	-11.948	0.025	0.317	104.798	Country
TRADQBZ12903CAD3E7	0.955	0.406	0.00641	3.24e-05	0.117	-27.04	0.0425	0.507	86.899	Folk
TRADQTT128F93408BB	0.00167	0.571	0.861	2.21e-06	0.337	-5.53	0.0353	0.806	108.974	Pop_Rock
TRADSZD128F1462803	0.982	0.341	0.0248	0.000102	0.106	-20.664	0.0363	0.209	78.777	Vocal
TRADTGS128F9326A6A	0.00415	0.253	0.752	0.853	0.136	-6.456	0.0447	0.579	126.658	Pop_Rock
TRADTQJ128F9340624	0.0203	0.529	0.943	0.0666	0.739	-5.991	0.044	0.201	104.63	Latin
TRADVDJ128F421B6E7	0.0986	0.89	0.426	0.0107	0.1	-12.405	0.079	0.489	120.536	Blues
TRADWYF128F421FA69	0.0308	0.759	0.39	2.86e-05	0.103	-9.892	0.119	0.8	169.988	Reggae
TRADWZS12903CA7CE8	0.0142	0.824	0.679	0.000116	0.292	-7.225	0.104	0.811	103.005	Reggae
TRADYGD128F932903A	0.351	0.317	0.269	0.788	0.093	-15.424	0.0328	0.0382	129.071	New Age
TRADZWL128F931B936	0.0354	0.701	0.585	0.0	0.0465	-6.4	0.11	0.441	82.057	Reggae
TRAEBOH128F9314977	0.783	0.612	0.48	0.948	0.081	-13.823	0.058	0.506	157.899	Jazz
TRAEDEO128F931E5C6	0.0695	0.412	0.443	0.0	0.308	-9.823	0.0766	0.383	72.224	RnB
TRAEDPF128F429C90D	0.248	0.719	0.897	0.747	0.075	-7.462	0.0392	0.803	95.02	International
TRAEDRM12903CC63D4	0.146	0.547	0.703	0.000445	0.108	-7.005	0.0237	0.708	90.2	Pop_Rock
TRAEEHU128F92CEB85	0.449	0.527	0.759	0.0299	0.234	-12.474	0.444	0.191	139.978	RnB
TRAEENE128F4250482	0.136	0.767	0.479	0.869	0.218	-8.834	0.0696	0.373	78.66	Reggae
TRAEFTE128F424E7F0	0.476	0.738	0.839	8.98e-06	0.0923	-3.429	0.0273	0.806	111.978	Latin
TRAEFTR128F146635B	0.631	0.529	0.25	0.0	0.127	-16.876	0.0311	0.657	149.222	Vocal
TRAEGDO128F42705BF	0.65	0.436	0.28	3.69e-06	0.111	-16.644	0.0283	0.678	100.453	Vocal
TRAEGRU128F9358874	0.151	0.574	0.3	0.893	0.111	-15.877	0.0384	0.0321	110.09	New Age
TRAEHJZ128F92FAD02	0.812	0.618	0.336	0.000288	0.335	-10.932	0.0327	0.364	86.9	International
TRAEHYF128F148AE0C	0.303	0.766	0.417	0.0	0.138	-8.311	0.254	0.675	83.019	RnB
TRAEIEN128F932D5B6	0.822	0.675	0.283	0.0	0.886	-24.276	0.94	0.47	62.783	Folk
TRAEIZW12903CE82A2	0.304	0.759	0.51	0.887	0.183	-12.07	0.0437	0.566	125.012	Electronic
TRAEMNG128F4295D12	0.301	0.453	0.615	0.266	0.822	-14.986	0.0489	0.822	121.958	Jazz
TRAENGY128F4272846	0.41	0.495	0.612	0.0	0.0974	-6.57	0.0303	0.366	148.083	Country
TRAENVC128F932266F	0.363	0.544	0.827	0.0	0.468	-7.284	0.0323	0.66	111.933	Latin
TRAENZO128F93069C3	0.941	0.352	0.22	0.0	0.0894	-8.734	0.0333	0.618	107.126	Folk
TRAEOLW128F933869B	0.565	0.634	0.416	0.955	0.24	-15.091	0.0343	0.823	105.831	Jazz
TRAEOPZ128F4254974	0.144	0.468	0.629	0.594	0.258	-13.374	0.0353	0.714	127.978	Jazz
TRAEPPA12903CDEC73	0.702	0.457	0.673	8.79e-06	0.846	-10.679	0.0569	0.277	108.999	Latin
TRAEQEQ128F92D098B	0.475	0.321	0.236	0.683	0.131	-15.28	0.0357	0.197	79.562	Jazz
TRAEQQB128F92FFF79	0.89	0.408	0.269	0.896	0.131	-18.848	0.0332	0.203	140.824	Jazz
TRAEQWJ12903CF5475	0.0789	0.675	0.745	6.81e-06	0.304	-6.485	0.0296	0.698	107.981	Latin
TRAEROM12903CB2814	0.092	0.526	0.91	2.96e-06	0.148	-7.372	0.0481	0.761	159.35	Latin
TRAETQI12903CCDE3A	0.814	0.33	0.432	0.00436	0.683	-12.465	0.122	0.284	197.994	Vocal
TRAEUNT12903CE65AE	0.906	0.724	0.284	0.947	0.0955	-15.173	0.049	0.841	111.469	New Age
TRAEVNQ128F4277880	0.366	0.628	0.378	0.0	0.0764	-15.347	0.0366	0.899	93.625	Latin
TRAEVWY128F92ED3C0	0.588	0.645	0.624	5.8e-05	0.168	-8.555	0.0305	0.548	137.963	Jazz
TRAEXGP128F4283791	0.934	0.205	0.106	0.956	0.103	-20.241	0.0447	0.0329	73.777	New Age
TRAEXIB128F42A4D7B	0.214	0.716	0.662	0.00102	0.0966	-11.639	0.0343	0.841	111.959	Latin
TRAEXZX128F426F8E1	0.955	0.535	0.305	0.862	0.139	-11.575	0.0443	0.656	157.102	Blues
TRAFAXI128F9303F5B	0.514	0.685	0.621	0.00603	0.0587	-11.12	0.0271	0.805	127.486	Blues
TRAFBDS128F427BC8C	0.669	0.544	0.595	0.000247	0.175	-9.512	0.0378	0.702	153.785	Latin
TRAFBFF128F9366C07	0.0156	0.662	0.896	0.0	0.13	-4.712	0.0321	0.598	130.003	RnB
TRAFBOG128F92F328A	0.144	0.676	0.77	1.55e-06	0.0941	-3.947	0.0632	0.546	164.17	Reggae
TRAFCCD128F930CA77	0.994	0.495	0.0776	0.00183	0.118	-14.333	0.0456	0.496	98.005	Folk
TRAFCIN128F92FAD77	0.368	0.625	0.828	0.0	0.0812	-5.481	0.033	0.336	79.17	Rap
TRAFCVI128C7196BE6	0.7	0.607	0.501	0.0	0.0692	-9.443	0.328	0.836	71.66	Reggae
TRAFDAK128EF366BC5	0.2	0.7	0.807	0.00119	0.154	-7.986	0.0267	0.932	124.621	Latin
TRAFECD128F14925EC	0.883	0.619	0.304	0.0	0.38	-17.773	0.728	0.701	108.146	International
TRAFFEE12903CC04B4	0.685	0.345	0.184	0.913	0.0946	-14.309	0.0361	0.118	89.979	Jazz
TRAFFGI128F9342668	0.078	0.515	0.718	0.0	0.0591	-8.876	0.0403	0.242	137.133	Country
TRAFFUU128E0788649	0.000773	0.376	0.756	0.000698	0.146	-8.337	0.0535	0.49	150.899	Pop_Rock
TRAFFXM128F931B602	0.719	0.143	0.459	0.859	0.102	-12.487	0.0316	0.139	93.541	Jazz
TRAFGOH128F92F8982	0.768	0.576	0.756	0.0135	0.259	-8.706	0.0362	0.788	127.687	Blues
TRAFGZE128F4266AFC	0.424	0.594	0.449	0.0	0.133	-9.494	0.046	0.328	84.409	Vocal
TRAFHUB128F4247802	8.08e-05	0.29	0.943	0.614	0.507	-8.32	0.0901	0.24	85.101	Pop_Rock
TRAFIIK128F149A057	0.486	0.766	0.465	0.921	0.0662	-10.488	0.0376	0.544	90.667	Jazz
TRAFJKX128F9308EA6	0.617	0.568	0.581	0.216	0.136	-7.358	0.0272	0.539	113.165	Blues
TRAFJVT128F4235E2B	0.259	0.617	0.586	0.0	0.269	-6.984	0.07	0.58	151.848	Latin
TRAFKAO128F93036DE	0.00134	0.568	0.74	0.876	0.959	-8.999	0.0468	0.711	128.99	Electronic
TRAFKCQ128F93015A3	0.318	0.456	0.771	0.133	0.117	-10.414	0.0505	0.431	147.948	Jazz
TRAFLFV128F425AFC2	0.315	0.548	0.61	0.965	0.129	-11.012	0.0261	0.403	100.069	New Age
TRAFLSO12903CCA4FE	0.038	0.525	0.754	5.38e-05	0.0624	-7.318	0.0393	0.605	99.79	Pop_Rock
TRAFLWG128F93446D4	0.00711	0.729	0.471	0.00791	0.103	-8.842	0.092	0.723	94.001	Pop_Rock
TRAFMIO12903CAF172	0.854	0.537	0.342	0.0428	0.158	-18.853	0.0366	0.908	91.208	Jazz
TRAFOLS128F9335CB1	0.929	0.407	0.681	0.105	0.897	-8.793	0.0366	0.439	126.019	Folk
TRAFOYT12903CBF9E3	0.332	0.524	0.525	0.2	0.113	-11.655	0.0543	0.552	139.912	Electronic
TRAFOZW128F92F1594	0.00579	0.614	0.867	0.0	0.0663	-4.234	0.0268	0.669	147.997	Vocal
TRAFQII128F9312E78	0.4	0.308	0.822	0.845	0.182	-4.501	0.0352	0.366	85.021	Pop_Rock
TRAFRDL128F428110E	0.17	0.562	0.871	0.0123	0.0661	-4.745	0.0269	0.419	81.984	Pop_Rock
TRAFUNV128F92CFEB2	0.638	0.587	0.324	0.0	0.293	-11.447	0.0277	0.28	103.99	Folk
TRAFURJ128F4231FAE	0.996	0.646	0.366	0.963	0.131	-17.013	0.0535	0.509	103.039	International
TRAFXTB128F4219E9E	0.492	0.417	0.283	1.18e-05	0.093	-12.264	0.0397	0.303	62.348	Country
TRAFYSJ128F149EBD6	0.908	0.725	0.05	0.000776	0.0817	-23.516	0.0603	0.283	87.402	Vocal
TRAFYVC128F4268F8B	0.17	0.591	0.871	0.103	0.937	-8.956	0.0847	0.696	100.082	Electronic
TRAFYYI128F422029E	0.279	0.58	0.328	0.0464	0.08	-17.642	0.0338	0.174	115.848	New Age
TRAFZMP12903CE99FB	0.00353	0.233	0.94	0.00218	0.967	-6.675	0.126	0.469	146.024	International
TRAGFQG128F42418D5	0.394	0.472	0.786	0.0	0.279	-7.802	0.291	0.389	135.026	Rap
TRAGHSR128F4233470	6.22e-05	0.622	0.842	4.75e-05	0.0806	-6.192	0.0301	0.875	107.983	Pop_Rock
TRAGIGX12903CF3AD4	0.387	0.6	0.621	0.0	0.104	-7.622	0.0266	0.455	113.114	New Age
TRAGJVN12903CE2E5C	0.645	0.678	0.292	0.886	0.135	-16.653	0.0307	0.278	103.032	Electronic
TRAGJXQ128F148E23D	0.69	0.553	0.548	0.0325	0.25	-7.369	0.0367	0.875	144.45	International
TRAGKFH128F426B15F	0.0739	0.857	0.563	0.0	0.0992	-9.566	0.28	0.754	92.025	RnB
TRAGKKN12903CE6B5C	0.741	0.656	0.354	0.0	0.393	-12.118	0.0288	0.672	119.023	Folk
TRAGLXV128F42601B8	0.503	0.492	0.824	0.804	0.0788	-11.195	0.037	0.476	94.707	New Age
TRAGMFM128F421E676	0.000239	0.484	0.966	0.431	0.18	-6.652	0.0704	0.672	149.955	Electronic
TRAGMXI12903D08923	0.58	0.639	0.398	0.845	0.109	-11.906	0.0243	0.251	137.96	Jazz
TRAGNFH128F4275C42	0.000212	0.383	0.626	0.00987	0.106	-14.743	0.0408	0.214	157.968	Pop_Rock
TRAGNKI128F42B17C8	0.0	0.173	0.207	0.699	0.225	-11.595	0.0412	0.0332	103.961	Pop_Rock
TRAGNNA128F42743B8	0.575	0.564	0.821	0.0	0.275	-8.754	0.142	0.757	172.695	Latin
TRAGONI128F4292FAE	0.566	0.589	0.409	0.000666	0.403	-14.107	0.032	0.945	119.784	International
TRAGOWY128F4263756	0.0536	0.772	0.883	0.0542	0.367	-4.215	0.0976	0.755	157.627	Rap
TRAGQWK128E0787237	0.274	0.434	0.405	0.000495	0.0826	-15.346	0.0317	0.363	142.675	Jazz
TRAGRVU128F92F8ECF	6.95e-05	0.726	0.742	0.798	0.11	-9.013	0.0413	0.751	133.829	Reggae
TRAGRZK128F147B1D8	0.529	0.741	0.971	0.00353	0.109	-3.859	0.0311	0.966	135.294	Latin
TRAGTGA12903D0EE38	0.367	0.629	0.627	0.0	0.405	-6.27	0.0894	0.576	151.739	Reggae
TRAGTKL128F42396A6	0.821	0.662	0.547	0.853	0.359	-13.19	0.0703	0.545	135.056	Electronic
TRAGTUF128F42297F1	0.0205	0.806	0.399	0.00405	0.117	-9.263	0.097	0.687	100.004	Rap
TRAGTVW128F930B15A	0.277	0.601	0.738	0.0	0.32	-7.167	0.0333	0.932	127.091	Latin
